          TABLE NR. 1.1.1.3                    DLR-F4 WING/BODY

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.775     0.149     0.021    -0.143     0.148     0.028
              -2.483     0.181     0.021    -0.142     0.180     0.029
              -2.188     0.218     0.022    -0.142     0.217     0.030
              -1.894     0.252     0.022    -0.141     0.251     0.031
              -1.598     0.289     0.024    -0.140     0.288     0.032
              -1.302     0.326     0.025    -0.139     0.326     0.032
              -1.005     0.364     0.026    -0.139     0.363     0.032
              -0.706     0.404     0.027    -0.138     0.404     0.032
              -0.409     0.443     0.029    -0.138     0.442     0.032
              -0.112     0.480     0.031    -0.137     0.480     0.032
               0.180     0.512     0.034    -0.134     0.512     0.032
               0.469     0.539     0.037    -0.130     0.540     0.033
               0.753     0.560     0.041    -0.125     0.560     0.033
               1.037     0.581     0.045    -0.120     0.581     0.034
               1.319     0.598     0.049    -0.113     0.599     0.035
               1.599     0.613     0.053    -0.107     0.614     0.036
               1.878     0.627     0.057    -0.101     0.629     0.036
               2.154     0.639     0.061    -0.095     0.641     0.037
               2.430     0.650     0.065    -0.090     0.652     0.038
               2.705     0.660     0.069    -0.085     0.663     0.038
               2.981     0.673     0.074    -0.080     0.676     0.039
               3.257     0.686     0.079    -0.076     0.689     0.040
               3.534     0.700     0.084    -0.073     0.703     0.041
               3.810     0.715     0.089    -0.071     0.719     0.041
               4.091     0.735     0.095    -0.070     0.740     0.042
               4.371     0.753     0.101    -0.069     0.758     0.043
               4.648     0.768     0.106    -0.067     0.774     0.044
               4.921     0.780     0.112    -0.066     0.786     0.045
               5.178     0.776     0.117    -0.069     0.783     0.047
1
          TABLE NR. 1.1.2.3                    DLR-F4 BODY ALONE

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.848    -0.005     0.009    -0.068    -0.005     0.009
              -2.330    -0.004     0.009    -0.060    -0.004     0.009
              -1.810    -0.003     0.009    -0.052    -0.003     0.009
              -1.291    -0.002     0.009    -0.043    -0.002     0.009
              -0.771    -0.001     0.009    -0.034    -0.002     0.009
              -0.251    -0.001     0.009    -0.025    -0.001     0.009
               0.268     0.000     0.009    -0.016     0.000     0.009
               0.788     0.000     0.009    -0.007     0.000     0.009
               1.318     0.001     0.009     0.003     0.001     0.009
               1.838     0.001     0.009     0.012     0.002     0.009
               2.358     0.002     0.009     0.022     0.002     0.009
               2.878     0.002     0.009     0.032     0.003     0.009
               3.398     0.003     0.010     0.042     0.003     0.009
1
          TABLE NR. 1.2.1.3                    DLR-F4 WING/BODY

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.400    -0.068     0.022    -0.136    -0.069     0.017
              -4.200    -0.042     0.022    -0.136    -0.044     0.019
              -4.000    -0.016     0.021    -0.137    -0.018     0.020
              -3.800     0.010     0.021    -0.137     0.008     0.022
              -3.600     0.036     0.021    -0.137     0.034     0.023
              -3.400     0.061     0.021    -0.137     0.060     0.024
              -3.200     0.086     0.021    -0.137     0.085     0.025
              -3.000     0.111     0.021    -0.136     0.110     0.026
              -2.800     0.135     0.021    -0.136     0.134     0.027
              -2.600     0.159     0.021    -0.136     0.157     0.028
              -2.400     0.182     0.021    -0.135     0.181     0.029
              -2.200     0.207     0.022    -0.135     0.206     0.030
              -2.000     0.231     0.022    -0.134     0.230     0.030
              -1.800     0.257     0.023    -0.134     0.256     0.031
